id,name,time,utc_offset,group_id,venue_id,status
"3261890","London Web Design October Meetup",1097776800000,3600000,163876,11725,"past"
"3492560","London Web Design November Meetup",1100199600000,0,163876,11725,"past"
"3683911","London Web Design December Meetup",1102618800000,0,163876,11725,"past"
"3857967","London Web Design January Meetup",1105642800000,0,163876,11725,"past"
"4339054","The London Web Design March Meetup",1113413400000,3600000,163876,76192,"past"
"4572794","The London Web Design May Meetup",1116439200000,3600000,163876,76192,"past"
"4709866","The London Web Design June Meetup",1118847600000,3600000,163876,85217,"past"
"4722297","The London Web Design September Meetup",1127898000000,3600000,163876,96579,"past"
"4772985","The London Web Design October Meetup",1129744800000,3600000,163876,76192,"past"
"4785678","The London Web Design November Meetup",1131649200000,0,163876,101958,"past"
"4798237","The London Web Design December Meetup",1134068400000,0,163876,101958,"past"
"4825171","The London PHP January Meetup",1136487600000,0,218194,,"past"
"4795898","January Meetup",1137006000000,0,163876,107295,"past"
"4826924","The London PHP February Meetup",1138906800000,0,218194,,"past"
"4832622","The London Web Design February Meetup",1140030000000,0,163876,107295,"past"
"4846072","The London PHP March Meetup",1141326000000,0,218194,,"past"
"4855152","The London Web Design March Meetup",1142449200000,0,163876,117583,"past"
"4866360","The London PHP April Meetup",1144346400000,3600000,218194,,"past"
"4876932","The London Web Design April Meetup",1145469600000,3600000,163876,125360,"past"
"4894688","The London PHP May Meetup",1146765600000,3600000,218194,,"past"
"4905517","The London Web Design May Meetup",1147370400000,3600000,163876,117583,"past"
"4923042","The London PHP June Meetup",1149184800000,3600000,218194,,"past"
"4965506","June Meetup",1150545600000,3600000,163876,137477,"past"
"4959867","The London PHP July Meetup",1152208800000,3600000,218194,,"past"
"4971584","The London Web Design July Meetup",1153332000000,3600000,163876,117583,"past"
"5011033","The London PHP August Meetup",1154628000000,3600000,218194,,"past"
"5031998","The London Web Design August Meetup",1155751200000,3600000,163876,117583,"past"
"5059776","The London PHP September Meetup",1157652000000,3600000,218194,,"past"
"5117848","The London PHP October Meetup",1160071200000,3600000,218194,,"past"
"5132307","The London Web Design October Meetup",1161799200000,3600000,163876,107295,"past"
"5177358","The London PHP November Meetup",1162494000000,0,218194,,"past"
"5222349","The London Web Design November Meetup",1163703600000,0,163876,76192,"past"
"5239653","The London PHP December Meetup",1165518000000,0,218194,,"past"
"5297670","""The Web was, is and will be"". London Web Dev, Dec 14th 2006",1166122800000,0,163876,107295,"past"
"5313772","The London PHP January Meetup",1167937200000,0,218194,,"past"
"5272749","The London Web Design January Meetup",1169060400000,0,163876,216428,"past"
"5365659","The London PHP February Meetup",1170356400000,0,218194,,"past"
"5402290","The London Web Design February Meetup",1172172600000,0,163876,216428,"past"
"5444343","The London PHP March Meetup",1172775600000,0,218194,,"past"
"5526842","The London PHP April Meetup",1175796000000,3600000,218194,,"past"
