eventId,topicId,times
206797862,16136,1
206797862,827,1
213764502,119778,4
213764502,97776,1
44312532,10043,7
222894657,10581,1
222894657,17703,3
222894657,835,2
219932447,1504699,1
182871242,17936,10
102317202,10358,16
102317202,1475,1
102317202,17703,2
102317202,18296,1
118744612,58162,1
118744612,17936,2
118744612,18060,1
118744612,17703,4
118744612,480642,1
118744612,77842,8
qzckfdyqlbdc,121802,2
qzckfdyqlbdc,17703,2
dtbmqdysfbjb,455,9
dtbmqdysfbjb,17703,3
dwjshcyqdbcc,189,3
dwjshcyqdbcc,39012,2
dwjshcyqdbcc,17703,4
dwjshcyqdbcc,15227,1
dwjshcyqdbcc,93380,2
221279656,160268,1
221279656,19724,3
221279656,29661,1
214960672,6490,5
214960672,17703,1
223297765,1454542,1
223297765,17703,1
223297765,10553,6
226174605,85,1
226174605,140943,3
226174605,1470102,1
226174605,89062,4
226174605,57424,1
226174605,190,6
226174605,88327,1
25298881,101961,5
25298881,7029,3
218025352,140943,1
218025352,18060,1
218025352,27591,1
218025352,89062,2
218025352,17703,1
218025352,190,3
218025352,1506522,1
208399622,7029,1
208399622,39012,1
44303132,10043,7
223355103,15038,1
223355103,6490,1
223355103,17703,2
113312782,17703,1
113312782,26906,2
113312782,888662,1
32432262,20126,4
32432262,189,3
119893852,40788,1
119893852,17703,1
119893852,33167,1
209639512,10579,1
209639512,480642,2
209639512,1737,1
226027848,1504699,3
226027848,189,1
226027848,339691,2
226027848,1097452,1
223039142,17703,1
43419732,10043,2
37793052,1064,1
37793052,179941,1
37793052,189,1
37793052,17703,1
15654884,189,1
15654884,827,1
15654884,17703,1
15654884,1737,3
224629171,17703,1
224629171,1505112,2
224629171,480642,2
224629171,58162,2
211261622,480642,1
kjphnynpbxb,89062,1
220011877,1504699,1
220011877,189,2
220011877,1500742,1
220011877,10834,1
220011877,87614,8
220011877,15227,2
220011877,17703,5
220011877,1454542,1
219080746,921432,3
163257182,1475,1
163257182,15227,1
163257182,637872,1
pkshsyspbbc,1237512,1
pkshsyspbbc,17703,2
pkshsyspbbc,80749,3
tmtcglyvfbrb,6490,1
tmtcglyvfbrb,139517,1
209443112,18060,1
209443112,89062,2
209443112,17703,3
209443112,188,1
209443112,2544,1
209443112,112355,3
209443112,480642,4
152941522,1064,1
152941522,29661,10
152941522,17703,2
152941522,17936,1
221862724,6490,4
221862724,189,2
221862724,58162,1
221862724,18060,3
221862724,27591,1
221862724,89062,1
221862724,17703,5
221862724,360491,2
221862724,112355,1
221862724,480642,7
221862724,77842,1
184722772,17703,2
168168722,17703,5
168168722,189,6
168168722,87614,5
168168722,15227,1
173719312,921432,4
206135892,140943,3
206135892,77842,1
116975682,142180,6
116975682,17703,2
dhtdtcyqgbrb,253331,5
dhtdtcyqgbrb,17703,2
14856751,106382,1
14856751,17703,2
14856751,78565,1
184538262,72187,2
184538262,17703,1
184538262,1459252,4
184538262,139517,1
24498591,6490,1
24498591,10579,1
24498591,10834,1
24498591,827,2
24498591,637872,1
24498591,15038,1
24498591,7029,2
24498591,1237512,1
tmtcglyvcbwb,6490,1
tmtcglyvcbwb,139517,1
222537616,85,1
222537616,17703,2
222537616,33876,1
56589782,20126,1
56589782,189,9
56589782,17936,9
56589782,21520,1
56589782,1097452,2
56589782,17703,3
223257170,33167,3
223257170,480642,4
223257170,56729,1
223257170,61679,1
223257170,18060,1
219081563,15121,2
17009966,160268,1
17009966,23123,1
17009966,827,2
17009966,1506522,2
17009966,88327,2
12124692,57424,1
12124692,189,1
218062842,1481632,6
218062842,189,2
218062842,71289,4
218062842,80749,1
218062842,1505112,2
218062842,149894,1
218062842,1097452,1
218062842,39012,1
150851862,36026,3
150851862,1505112,1
150851862,134115,1
194289772,61679,2
194289772,490192,1
199339102,190,1
199339102,1475,1
199339102,56729,1
119168902,502772,1
220245373,1064,2
220245373,179941,4
220245373,189,2
220245373,480642,2
91576172,10358,2
225376021,160268,1
225376021,1471652,4
225376021,188,1
tskbflytkbcb,16225,1
tskbflytkbcb,187,1
223109361,17703,2
223109361,1506438,2
12457720,16137,1
12457720,37550,1
12457720,78565,1
77671142,121802,4
77671142,480642,2
77671142,339691,3
tmtcglytnbgb,6490,1
tmtcglytnbgb,139517,1
47308732,101961,1
47308732,7029,2
91439402,16390,1
97340682,480642,5
182866992,10043,8
221908679,10581,2
220848239,1450612,2
220848239,17703,1
220848239,7848,1
220848239,15227,1
14646551,10358,6
14646551,480642,2
14646551,17703,3
14646551,15227,1
205107922,121802,2
205107922,77379,2
205107922,58162,4
205107922,33167,1
218598222,480642,4
218598222,71289,4
218598222,18060,3
218598222,10581,1
227035810,17703,1
221673404,17703,1
198996512,6490,1
198996512,21750,1
198996512,1470102,2
198996512,57424,1
198996512,22791,1
198996512,1506522,1
188456492,121802,3
188456492,6490,3
188456492,17703,1
168670882,189,1
168670882,21750,1
168670882,1058992,6
168670882,16,1
167345642,6490,1
167345642,17703,2
167345642,789,3
14087708,6490,1
14087708,17703,1
pkshsyslbcc,1040,1
pkshsyslbcc,114656,1
pkshsyslbcc,7029,1
pkshsyslbcc,17703,2
pkshsyslbcc,1022382,1
qmlcpdyrgbgb,121802,2
qmlcpdyrgbgb,17703,3
92660992,17703,4
92660992,1097452,1
92660992,21717,1
224449125,89062,1
224449125,17703,1
224449125,71289,5
225092257,35408,2
144640832,124314,1
144640832,17703,6
144640832,19724,5
144640832,189,6
115667112,10579,1
115667112,3737,1
115667112,17703,4
182864452,16137,1
182864452,189,1
qkdbhlytlbxb,1475,1
qkdbhlytlbxb,6490,1
34096842,1512,3
34096842,22601,7
34096842,85,1
34096842,1470102,1
34096842,99912,4
34096842,53518,1
34096842,17703,1
34096842,78565,1
34096842,81917,1
219147841,179941,8
219147841,10579,3
101954512,189,4
101954512,80749,3
101954512,85,1
101954512,1097452,2
101954512,40788,4
101954512,502772,2
101954512,89386,3
101954512,21750,1
8328730,1512,1
8328730,23123,1
8328730,18718,1
8328730,43599,1
8328730,37550,1
8328730,53518,1
8328730,189,8
8328730,88327,1
128183922,17703,1
128183922,15227,1
54320662,89386,1
54320662,78565,5
54320662,80749,1
220344999,17703,1
220344999,18060,3
220344999,10581,1
180209022,6490,2
180209022,17703,1
180209022,1470102,1
220735591,29661,7
220735591,17703,1
220735591,1097452,1
95669632,29661,3
pkshsypmbtb,17703,2
220037638,17703,1
196812822,119778,1
196812822,10579,1
196812822,97776,1
134901412,190,2
196148322,89062,2
196148322,10834,1
196148322,6490,1
196148322,15038,2
196148322,10581,3
220288070,89062,1
220288070,10043,3
226593999,1471992,2
226593999,6490,1
xnqkpynmbbc,20126,3
xnqkpynmbbc,21520,1
xnqkpynmbbc,17703,1
33218292,10581,1
221808566,10358,2
221808566,1475,2
221808566,17703,1
223922716,1064,3
223922716,1040,1
223922716,480642,1
221889861,1504699,1
221889861,1454542,1
221889861,17703,2
221889861,1504750,3
166095042,160268,1
166095042,53518,1
166095042,1040,3
166095042,1973,1
134522572,17703,2
134522572,21123,1
134522572,189,1
134522572,502772,1
166095512,106382,3
109847612,179941,1
109847612,112355,1
109847612,480642,1
109847612,58162,4
222502144,17703,2
75271782,89,1
75271782,10834,1
75271782,1097452,1
tmtcglytjbkb,6490,1
tmtcglytjbkb,139517,1
212384392,188,1
224678625,1064,2
224678625,168154,4
224920819,85,1
224920819,57424,1
224920819,480642,2
224920819,17703,1
kvjhglyvfbcb,20126,1
kvjhglyvfbcb,1097452,1
kvjhglyvfbcb,502772,1
222614682,168154,1
166410262,10579,1
166410262,15992,1
166410262,17703,1
166410262,56729,1
166410262,15242,1
221956360,190,2
221956360,1504699,1
214943082,139517,1
mrmpdlyvjbfc,39012,1
90022472,37339,2
90022472,88170,1
90022472,10043,1
16106147,17703,1
44688762,121802,8
44688762,17703,1
44688762,15166,1
44688762,1238,1
185411942,16,1
185411942,78565,3
185411942,18296,1
185411942,56729,1
5597269,455,1
5597269,17703,1
5597269,1973,1
125225802,17703,2
125225802,10834,1
125225802,140943,8
xxgrjlytmbwb,1040,1
xxgrjlytmbwb,7029,1
xxgrjlytmbwb,17703,1
xqmpqyqjbkb,455,6
xqmpqyqjbkb,17703,3
224738942,10358,4
224738942,36229,1
224738942,17703,1
89004872,189,1
89004872,29661,3
89004872,17703,1
89004872,18296,1
89004872,15227,1
48380852,1505112,1
48380852,17703,2
96105182,6490,1
96105182,16390,7
8490885,57424,1
8490885,6490,1
8490885,17703,1
8490885,15166,1
182110202,1238,4
182110202,82132,6
182110202,89062,3
182110202,17703,1
182110202,10581,1
182110202,480642,7
224383139,1064,2
224383139,17703,1
224716213,10553,6
223440758,17703,1
223440758,15038,1
223440758,626,1
220601189,10834,3
220601189,27921,7
220601189,1973,1
220601189,93380,3
13447321,17703,2
219521997,189,1
219521997,71289,1
219521997,94589,1
219521997,1097452,1
219521997,17703,1
219521997,502772,1
126389852,106382,2
126389852,405512,2
126389852,78565,1
ddkwxhysfbwb,17703,2
ddkwxhysfbwb,84681,1
175316522,85,2
175316522,6490,1
175316522,17703,3
175316522,1097452,1
175316522,18296,4
147275052,827,3
219830663,1162662,5
219830663,1505112,3
219830663,10579,1
219830663,58162,2
qkdbhlytmbtb,1475,1
kvjhglyvcbhb,20126,1
kvjhglyvcbhb,1097452,1
kvjhglyvcbhb,502772,1
181662932,1238,1
181662932,17703,1
181662932,480642,4
181662932,833952,1
181662932,168154,3
72883532,17703,1
tmtcglyvnbmb,6490,1
tmtcglyvnbmb,139517,1
182582182,480642,1
182582182,27591,1
182582182,1475,1
182582182,17703,2
182582182,2544,1
182582182,10579,2
175154552,1064,2
33072832,144841,1
217337072,1064,6
217337072,22467,3
217337072,888662,1
219956459,23274,1
21573811,17936,8
dxnqnfyrpbbc,17703,1
dxnqnfyrpbbc,1097452,1
dxnqnfyrpbbc,10553,4
16425585,2544,1
16425585,37550,1
16425585,7029,1
16425585,10553,1
188006492,189,1
188006492,26906,3
188006492,1097452,1
188006492,17703,1
155913922,16136,1
155913922,40788,1
155913922,827,1
155913922,17703,1
155913922,939612,4
223242852,60209,1
223242852,17936,2
223242852,1505112,1
223242852,27142,1
223242852,17703,1
223242852,18296,2
223242852,190,4
223242852,360491,10
223242852,480642,2
219585520,10579,1
219585520,17703,1
80218102,10358,4
80218102,18296,1
224615801,160268,3
224615801,17703,1
224615801,6490,1
224615801,1040,8
224615801,16739,1
219639495,1162662,3
219639495,17703,1
224447666,19724,1
224447666,1505112,1
224447666,1484812,4
220275883,1505112,1
220275883,144841,1
bmxsqypkbjb,121802,4
bmxsqypkbjb,17703,1
108861762,19724,1
166148772,189,9
166148772,17703,3
166148772,10575,1
166148772,93380,2
qcdzpcyqjbrb,121802,2
qcdzpcyqjbrb,17703,2
71914852,190,1
71914852,77842,5
98530932,6490,1
98530932,10579,1
98530932,25551,1
98530932,18060,1
98530932,89062,1
98530932,17703,1
98530932,1238,1
98530932,1954,1
98530932,480642,5
98530932,21591,1
72490512,18060,1
mrmpdlytdbzb,39012,1
qcdzpcyqhbvb,121802,2
qcdzpcyqhbvb,17703,2
76042032,189,2
76042032,1475,1
76042032,17703,2
67827712,189,1
67827712,17703,2
67827712,15227,3
225610088,1064,7
215155852,27142,1
215155852,168154,1
186883262,189,1
186883262,17936,1
186883262,1064,1
186883262,1097452,1
186883262,61679,1
186883262,89062,1
186883262,17703,4
186883262,18296,2
186883262,33167,7
186883262,190,3
186883262,360491,14
223514068,17703,2
140020132,112355,1
140020132,480642,1
140020132,10575,1
225592953,57424,1
225592953,1505112,1
225592953,1737,1
225592953,15227,1
225592953,10581,1
220555425,871,1
177246902,85,2
177246902,480642,2
225116774,1504699,1
225116774,1500742,1
225116774,114656,1
225116774,140943,2
225116774,87614,2
225116774,15227,1
225116774,17703,1
225116774,1737,1
225116774,1454542,7
223676131,1504699,3
223676131,6490,1
223676131,80749,1
223676131,140943,1
223676131,142180,1
223676131,1237512,1
126771962,29661,1
225532015,84070,1
225532015,10575,1
225532015,23680,1
225532015,1097452,1
225532015,15227,1
225532015,89,1
225532015,1737,1
225532015,33167,2
225532015,480642,2
36089952,17703,2
36089952,16390,4
206504452,10579,1
206504452,10464,1
206504452,17703,2
210462082,17703,1
226219453,502772,4
fsddnynpbgb,455,7
fsddnynpbgb,17703,3
95057812,17921,1
95057812,6490,3
95057812,480642,3
215356342,1481632,1
215356342,71289,5
215356342,1505112,2
215356342,1097452,1
215356342,17703,1
215356342,10581,2
215356342,480642,1
dwjshcyqjbzb,189,1
dwjshcyqjbzb,17703,3
dwjshcyqjbzb,15227,1
10828542,10043,3
218590257,179941,1
58930802,17703,2
58930802,189,11
58930802,1097452,1
221207774,10575,1
221207774,58162,1
221207774,1475,1
221207774,17703,1
221207774,162018,3
221207774,480642,1
11213938,84070,1
tmtcglyvkbwb,6490,1
tmtcglyvkbwb,139517,1
9126795,17703,1
221969582,17703,1
214970772,1503736,3
226588787,6490,1
226588787,1500742,1
226588787,140943,1
226588787,17703,1
226588787,142180,1
226588787,1454542,1
226588787,1504752,2
226588787,1504751,1
32756532,179941,4
32756532,189,1
32756532,480642,1
226697837,85,1
226697837,6490,3
226697837,480642,1
226697837,18296,2
226697837,1470102,2
184084462,17552,1
184084462,17703,1
184084462,59325,1
221424129,189,10
221424129,85,1
221424129,56729,1
221424129,1097452,1
221424129,17703,1
221424129,2544,2
221424129,10579,1
43420202,10043,2
146213292,502772,2
29324631,6490,1
29324631,106382,1
29324631,15992,1
29324631,1737,1
29324631,17703,1
29324631,19724,18
wbcqhlyvfbhc,10579,1
wbcqhlyvfbhc,139517,2
22954391,24120,3
22954391,189,5
