groupId,name,id,urlkey
18780165,".NET",827,"dotnet"
18780165,"System Administration",2109,"sysadmin"
18780165,"C#",2260,"csharp"
18780165,"Microsoft Windows",10105,"mswindows"
18780165,"Cloud Computing",15167,"cloud-computing"
18780165,"Configuration Management",46810,"configuration-management"
18780165,"Data Center and Operations Automation",46831,"data-center-and-operations-automation"
18780165,"PowerShell",52210,"powershell"
18780165,"Windows Azure Platform",66339,"windows-azure-platform"
18780165,"Scripting",84706,"scripting"
18780165,"DevOps",87614,"devops"
18780165,"Microsoft Technology",99537,"microsoft-technology"
18780165,"Windows",160268,"windows"
18780165,"Windows PowerShell",887592,"windows-powershell"
18780165,"Azure",1137362,"azure"
841735,"Java",189,"java"
841735,"Open Source",563,"opensource"
841735,"Software Development",3833,"softwaredev"
841735,"Technology",10579,"technology"
841735,"Web Development",15582,"web-development"
841735,"Agile Project Management",21549,"agile-project-management"
841735,"Computer programming",48471,"computer-programming"
18313232,"Linux",188,"linux"
18313232,"Open Source",563,"opensource"
18313232,"Google",6490,"google"
18313232,"Software Engineering",16325,"software-engineering"
18313232,"Google Technology User Group",27790,"google-technology-user-group"
18313232,"DevOps",87614,"devops"
18313232,"Network Architecture",537502,"network-architecture"
18313232,"Kubernetes",1500742,"kubernetes"
18581527,"Business Intelligence",10538,"businessintell"
18581527,"Big Data",18062,"big-data"
18581527,"Data Analytics",30928,"data-analytics"
18581527,"Data Visualization",37381,"data-visualization"
18581527,"Predictive Analytics",38458,"predictive-analytics"
18581527,"Information Visualization",67465,"information-visualization"
18581527,"Infographics",77098,"infographics"
18581527,"Business Analytics",98842,"business-analytics"
18581527,"Data Science",102811,"data-science"
18581527,"Tableau",168154,"tableau"
18581527,"Big Data Analytics",383411,"big-data-analytics"
18581527,"D3",1393422,"d3"
20070426,"Software Development",3833,"softwaredev"
20070426,"Web Development",15582,"web-development"
20070426,"Mobile Technology",16216,"mobile-technology"
20070426,"Big Data",18062,"big-data"
20070426,"Android",19724,"android"
20070426,"Android Development",20346,"android-developers"
20070426,"Mobile Development",21441,"mobile-development"
20070426,"Machine Learning",29971,"machine-learning"
20070426,"Data Analytics",30928,"data-analytics"
20070426,"Data Mining",55324,"data-mining"
20070426,"Data Science",102811,"data-science"
20070426,"iOS",106382,"ios"
20070426,"iOS Development",127567,"ios-development"
20070426,"Android App Design",515662,"android-app-design"
20080673,"System Administration",2109,"sysadmin"
20080673,"Cloud Computing",15167,"cloud-computing"
20080673,"Amazon Web Services",20398,"amazon-web-services"
20080673,"Virtualization",20479,"virtualization"
20080673,"IT Infrastructure",20480,"it-infrastructure"
20080673,"PowerShell",52210,"powershell"
20080673,"Microsoft Azure",63265,"microsoft-azure"
20080673,"IaaS (Infrastructure as a Service)",107633,"iaas-infrastructure-as-a-service"
20080673,"Cloud Security",110474,"cloud-security"
20080673,"Infrastructure as Code",126177,"infrastructure-as-code"
20080673,"OpenStack",142180,"openstack"
20080673,"infrastructure",781312,"infrastructure"
20080673,"Cloud Infrastructure",793352,"cloud-infrastructure"
20080673,"Windows PowerShell",887592,"windows-powershell"
20080673,"Cloud to Cloud Itegration",1505093,"cloud-to-cloud-itegration"
163876,"Open Source",563,"opensource"
163876,"Web Design",659,"webdesign"
163876,"New Media",1851,"newmedia"
163876,"Software Development",3833,"softwaredev"
163876,"Internet Professionals",10102,"internetpro"
163876,"Interaction Design",10110,"ixd"
163876,"Web Technology",10209,"web"
163876,"Online Marketing",15585,"online-marketing"
163876,"User Experience",19243,"user-experience"
163876,"SEO (Search Engine Optimization)",23199,"seo-search-engine-optimization"
163876,"iOS Development",127567,"ios-development"
163876,"Internet Startups",128595,"internet-startups"
15734842,"Open Source",563,"opensource"
15734842,"System Administration",2109,"sysadmin"
15734842,"Configuration Management",46810,"configuration-management"
15734842,"Data Center and Operations Automation",46831,"data-center-and-operations-automation"
15734842,"DevOps",87614,"devops"
15734842,"Infrastructure as Code",126177,"infrastructure-as-code"
15734842,"Continuous Delivery",166000,"continuous-delivery"
15734842,"Ansible",1434182,"ansible"
15734842,"Docker",1454542,"docker"
20275260,"Linux",188,"linux"
20275260,"Open Source",563,"opensource"
20275260,"System Administration",2109,"sysadmin"
20275260,"Software Development",3833,"softwaredev"
20275260,"Cloud Computing",15167,"cloud-computing"
20275260,"Virtualization",20479,"virtualization"
20275260,"PaaS (Platform as a Service)",31197,"paas"
20275260,"Configuration Management",46810,"configuration-management"
20275260,"Data Center and Operations Automation",46831,"data-center-and-operations-automation"
20275260,"DevOps",87614,"devops"
20275260,"Infrastructure as Code",126177,"infrastructure-as-code"
20275260,"Continuous Delivery",166000,"continuous-delivery"
20275260,"Docker",1454542,"docker"
20275260,"Containers",1504752,"containers"
20275260,"DevOps Automation",1508781,"devops-automation"
12963902,"Linux",188,"linux"
12963902,"Open Source",563,"opensource"
12963902,"Web Technology",10209,"web"
12963902,"Cloud Computing",15167,"cloud-computing"
12963902,"Agile Project Management",21549,"agile-project-management"
12963902,"High Scalability Computing",24410,"high-scalability-computing"
12963902,"Test Driven Development",25435,"test-driven-development"
12963902,"Monitoring",84070,"monitoring"
12963902,"DevOps",87614,"devops"
12963902,"Infrastructure as Code",126177,"infrastructure-as-code"
12963902,"Windows",160268,"windows"
2945102,"Business Intelligence",10538,"businessintell"
2945102,"Big Data",18062,"big-data"
2945102,"Business Intelligence Best Practices",22622,"business-intelligence-best-practices"
