id,name,city,address_1,address_2,lat,lon
1001702,"Google London","London","76 Buckingham Palace Rd",,51.494926,-0.146192
10028072,"Club Workspace","London","Clerkenwell Workshops,27-31 Clerkenwell Close. EC1R 0AT",,51.524334,-0.10651
10085502,"10gen London Office","London","Zetland House, 2nd Floor Units F & G",,51.507336,-0.127683
10117112,"Queen Mary University Room 1.13A, Bancroft Building","London","London E1 4NS",,51.523411,-0.040532
1014510,"Hummus Bros Victoria House","London","37-63 Southampton Row, Holborn","WC1B 4DA",51.518452,-0.122272
10185392,"Open Credo","SE1 0NZ, London","5-11 Lavington Street",,51.505108,-0.099677
10185422,"OpenCredo","London","5 - 11 Lavington Street, London, SE10NZ",,51.505241,-0.101121
101958,"The Green Man and French Horn,  -","London","54, St. Martins Lane - Covent Garden","WC2N 4EA",51.52,-0.1
1022224,"Royal Festival Hall","London SE1 8XX","South Bank Centre","Belvedere Road",51.50658,-0.115437
1023590,"The George Tavern","London","373 Commercial Road","Stepney, E1 0LA",51.514198,-0.052919
10237892,"Darwin B15 Lecture Theatre","London","UCL, Gower Street, London, WC1E 6BT",,51.523567,-0.132527
10317582,"Salesforce London Office","London","Level 27A, 25 Old Broad Street, London. EC2N 1HQ ",,51.515289,-0.084091
1040306,"The Skills Matter eXchange","London","116-120 Goswell Road","EC1V 7DP",51.524521,-0.099231
1048829,"The Water Poet","London","9-11 Folgate St","London, E1 6BX",51.52083,-0.076813
10494552,"81 Leonard Street Events","London, EC2A 4QS","81 Leonard Street",,51.524712,-0.083073
10499892,"The William Morris","London W6 0QA","2-4 King Street",,51.492924,-0.225645
10558052,"NESTA","London","1 Plough Place, EC4A 1DE",,51.51672,-0.108908
1057276,"The Crown Tavern","London","43 Clerkenwell Green","EC1R 0EB",51.522906,-0.105205
1059205,"Young Foundation","London","18 Victoria Park Square","E2 9PF",51.528717,-0.053709
10630452,"3rd Floor Space, Google Campus, ","London","4-5 Bonhill Street, London, EC2A 4BX",,51.522694,-0.085303
10711022,"google campus london","London","4-5 Bonhill Street, London EC2A 4BX, United Kingdom",,51.522694,-0.085303
107295,"The Yorkshire Grey Pub","London","46 Langham Street","W1W 7AX",51.52,-0.1
1073057,"Mallet Place Building","London","Room 1.03, Malet Place Engineering Building","Malet Place, UCL",51.500152,-0.126236
1088885,"University of London Student Union","London","Bloomsbury (WC1E 7HY)",,51.524402,-0.122808
10904292,"EMBANKMENT :  PUB - The Sherlock Holmes ","London","10-11 Northumberland Street, Westminster, WC2N 5DB, London",,51.507309,-0.125276
10972582,"The Craft Beer Co.","London","55 White Lion St., N1 9PP",,51.532745,-0.110972
1101586,"The Salisbury","London","90 St Martins Lane",,51.510851,-0.12701
11080412,"LMG Training & Development","London","202 Blackfriars Road, Southwark, SE1 8NJ",,51.504444,-0.104309
11103902,"The Barrowboy & Banker","London","6-8 Borough High Street,   SE1 9QQ",,51.50626,-0.08884
1110586,"Lincoln Lounge","London","52 York Way","N1 9AB",51.532999,-0.122443
1112237,"UCL, Christopher Ingold Building","London","Gordon Street",,51.525692,-0.133038
11139532,"Park Plaza Sherlock Holmes","London, W1U 6LJ","108 Baker Street",,51.520897,-0.156898
1119349,"SkillsMatter","London, EC1V 7DP","116-120 Goswell Road",,51.527359,-0.100445
11205172,"online","London","online",,51.490025,-0.132004
1121355,"De Hems","London","11 Macclesfield Street,","Leicester Square",51.51213,-0.13144
1127581,"Bodeans BBQ Smoke House","Lambeth","169 Clapham High Street",,51.462217,-0.137159
1135097,"TBD","London","TBD also",,51.500152,-0.126236
11359782,"Central Working Shoreditch","London EC2A 4BX","6-8 Bonhill Street ",,51.522694,-0.085303
11362552,"The Old Fountain","London","3 Baldwin Street, EC1V 9NU","Near Old Street Station",51.526907,-0.088936
1136882,"Southbank Centre ","London SE1 8XX","Southbank Centre Square","Belvedere Road",51.507739,-0.099049
1140333,"The Old Star","London","66 Broadway, Westminster, SW1H 0DB","Outside St James Park Tube",51.499954,-0.133796
1140448,"The Rugby Tavern","London","19 Great James Street ","WC1N 3ES ",51.522076,-0.117176
11449462,"Sekforde Arms","London","34 Sekforde Street, Clerkenwell, London. EC1R 0HA",,51.524029,-0.104482
11591712,"Conversocial","London","Epworth House - 25 City Road",,51.523125,-0.08702
1160990,"The Antelope","London","22-24 Eaton Terrace, London,","by Sloane Square",51.494599,-0.155401
11629722,"Google Campus 3rd Floor","London EC2A 4BX","4-5 Bonhill Street",,51.522709,-0.085336
1169467,"ONLINE","London","Online meeting",,51.500152,-0.126236
1170729,"The Doric Arch","London","1 Eversholt Street","NW1 2DN",51.52805,-0.131836
11725,"Roadhouse Live Music Restaurant , Bar & Club","London","The Piazza","Covent Garden",51.52,-0.1
117583,"horse & Groom","London","128, Great Portland St, London, W1W 6PX",,51.519993,-0.142694
11780282,"Bar Kick","E1 6JE","127 Shoreditch High Street",,51.526417,-0.078275
1178561,"The Queen Elizabeth II Conference Centre","London","Broad Sanctuary","Westminster, SW1P 3EE",51.50008,-0.127838
11798272,"10gen London","London","Zetland House, Units 2F-G, 5 - 25 Scrutton Street, EC2A 4HJ",,51.523617,-0.083438
11824122,"Darwin B40 Lecture Theatre, UCL","London","Gower Street, London, WC1E 6BT",,51.522484,-0.132641
1191094,"Google","London","Belgrave House","76 Buckingham Palace Road",51.4948,-0.1467
12012142,"Online Webinar","London","Online Webinar",,51.511215,-0.119824
1208061,"The Slug and Lettuce","London","19/20 Hanover Street",,51.513912,-0.144299
1212407,"Packt Publishing Promotion","There will be no physical meetup","This is an online promotion",,0,0
1213633,"The Bridge House","SE1 2UP","218 Tower Bridge Road","London",51.504102,-0.076328
12140722,"Level 39 Technology Accelerator at Canary Wharf","London E14","One Canada Square",,51.505001,-0.019611
12195932,"Slaughtered Lamb Pub","London","34-35 Great Sutton St",,51.523376,-0.101161
1227635,"Hoxton Apprentice - Restaurant & Bar","London N1 6NT ","16 Hoxton Square","Mezzanine Area",51.52811,-0.081627
12280032,"Forward","London","19 Mandela St, Camden, NW1 0DU ",,51.537731,-0.136678
1232158,"Centre for Creative Collaboration","London","16 Acton Street","16 Acton Street, London WC1X 9NG",51.528741,-0.116529
12333552,"Infusion Dev","London","Exchange Tower, 7th Floor, 2 Harbour Exchange Square, E14 9GE",,51.498844,-0.014327
12333552,"Infusion Dev","London","Exchange Tower, 7th Floor, 2 Harbour Exchange Square, E14 9GE",,51.499058,-0.014863
